Accident_Index,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Light_Conditions,Weather_Conditions,Road_Surface_Conditions
200901BS70003,-0.179599,51.486668,1,3,2,1,4/1/2009,1,14:19,12,1,1,1
200901BS70004,-0.20311,51.507804,1,2,2,1,5/1/2009,2,8:10,12,1,8,4
200901BS70005,-0.173445,51.482076,1,2,2,1,6/1/2009,3,17:25,12,4,1,1
200901BS70006,-0.185525,51.493415,1,3,2,3,1/1/2009,5,11:48,12,1,1,1
                                                                   
200901BS70008,-0.178524,51.491957,1,3,1,1,2/1/2009,6,13:18,12,1,1,1
                                                                  
200901BS70010,-0.183275,51.48115,1,3,1,1,10/1/2009,7,9:52,12,1,8,2
                                                                  
200901BS70012,-0.183013,51.494995,1,3,1,1,16/01/2009,6,17:49,12,4,1,1
200901BS70015,-0.206779,51.498778,1,3,2,1,12/1/2009,2,14:00,12,1,2,2
200901BS70016,-0.209082,51.506187,1,3,2,1,9/1/2009,6,8:15,12,1,2,2
200901BS70017,-0.169548,51.493077,1,3,2,1,17/01/2009,7,12:15,12,1,1,1
200901BS70019,-0.173445,51.482076,1,2,2,1,25/01/2009,1,22:05,12,4,1,1
200901BS70020,-0.169724,51.488673,1,3,2,1,26/01/2009,2,17:30,12,4,1,1
200901BS70021,-0.186108,51.482363,1,3,1,1,26/01/2009,2,17:05,12,4,1,1
200901BS70023,-0.176861,51.49391,1,3,2,1,19/01/2009,2,14:27,12,1,1,2
200901BS70024,-0.194837,51.509296,1,3,1,1,27/01/2009,3,0:28,12,4,1,1
200901BS70025,-0.188919,51.50228,1,3,1,1,21/01/2009,4,23:15,12,4,2,2
200901BS70026,-0.194905,51.507588,1,3,1,1,22/01/2009,5,23:15,12,4,2,2
200901BS70027,-0.193063,51.488585,1,2,2,2,31/01/2009,7,14:20,12,1,1,1
200901BS70028,-0.217295,51.528344,1,3,2,1,3/2/2009,3,13:25,12,1,8,3
200901BS70030,-0.164404,51.499201,1,3,2,2,31/01/2009,7,22:30,12,4,1,1
200901BS70031,-0.204042,51.517081,1,2,1,2,31/01/2009,7,13:50,12,1,1,1
200901BS70032,-0.190148,51.48944,1,3,1,1,29/01/2009,5,8:20,12,1,1,1
200901BS70033,-0.158397,51.494521,1,3,2,1,31/01/2009,7,12:03,12,1,1,1
200901BS70035,-0.203799,51.508624,1,3,2,1,29/01/2009,5,15:50,12,1,1,1
200901BS70036,-0.18014,51.491173,1,3,2,1,31/01/2009,7,1:01,12,4,1,2
200901BS70037,-0.202731,51.495478,1,3,1,1,28/01/2009,4,7:45,12,1,2,2
200901BS70039,-0.173622,51.495658,1,2,2,1,27/01/2009,3,12:30,12,1,1,1
200901BS70040,-0.163518,51.499727,1,3,2,1,31/01/2009,7,10:08,12,1,1,1
200901BS70041,-0.202966,51.507802,1,3,2,1,22/01/2009,5,16:19,12,4,1,2
200901BS70042,-0.197156,51.508972,1,3,1,1,29/01/2009,5,20:35,12,4,1,1
200901BS70043,-0.204201,51.513036,1,3,1,1,20/01/2009,3,13:27,12,1,1,1
200901BS70044,-0.206531,51.512443,1,3,2,1,17/01/2009,7,11:00,12,1,1,2
200901BS70045,-0.192787,51.491908,1,2,1,1,15/01/2009,5,11:30,12,1,1,1
200901BS70047,-0.202351,51.497811,1,3,2,1,9/2/2009,2,9:15,12,1,2,2
200901BS70049,-0.171549,51.486273,1,3,2,1,28/01/2009,4,11:15,12,1,2,2
200901BS70050,-0.193879,51.500738,1,3,1,2,23/01/2009,6,11:15,12,1,1,2
200901BS70051,-0.1599,51.50012,1,3,2,1,26/01/2009,2,14:40,12,1,1,1
200901BS70052,-0.192924,51.49209,1,3,1,1,3/2/2009,3,9:58,12,1,1,1
200901BS70053,-0.160698,51.49105,1,3,2,1,10/2/2009,3,8:10,12,1,1,2
200901BS70054,-0.215914,51.504672,1,3,2,1,30/01/2009,6,8:28,11,1,1,1
200901BS70055,-0.204031,51.506379,1,3,2,1,28/01/2009,4,19:53,12,4,2,2
200901BS70056,-0.178417,51.480175,1,3,2,1,29/01/2009,5,14:05,12,1,1,1
200901BS70057,-0.159225,51.491836,1,2,1,1,10/2/2009,3,23:55,12,4,1,1
200901BS70058,-0.209678,51.516717,1,3,1,1,10/2/2009,3,8:35,12,1,1,2
200901BS70060,-0.193146,51.490115,1,3,2,1,12/2/2009,5,7:53,12,1,1,1
200901BS70061,-0.195284,51.508943,1,3,1,1,16/02/2009,2,12:00,12,1,1,1
200901BS70062,-0.199072,51.493264,1,3,2,1,16/02/2009,2,8:25,12,1,1,1
200901BS70063,-0.155621,51.484765,1,3,2,1,14/02/2009,7,21:06,12,4,1,2
200901BS70064,-0.17533,51.481746,1,3,1,1,18/02/2009,4,7:09,12,1,1,2
200901BS70065,-0.180135,51.487666,1,3,1,2,21/02/2009,7,20:42,12,4,1,1
200901BS70066,-0.191831,51.501516,1,3,1,1,15/02/2009,1,0:35,12,4,1,1
200901BS70067,-0.182579,51.487794,1,3,2,1,21/02/2009,7,10:15,12,1,1,1
200901BS70069,-0.18619,51.502058,1,3,2,1,12/2/2009,5,16:50,12,4,3,2
200901BS70070,-0.193004,51.500994,1,3,1,1,12/2/2009,5,12:20,12,1,1,1
200901BS70071,-0.214006,51.523977,1,3,2,1,20/02/2009,6,23:15,12,4,1,1
200901BS70072,-0.170473,51.484368,1,3,1,1,27/02/2009,6,15:40,12,1,1,1
200901BS70073,-0.192709,51.501169,1,3,1,1,18/01/2009,1,16:46,12,4,1,1
200901BS70075,-0.185939,51.48299,1,3,2,2,7/2/2009,7,12:25,12,1,1,1
200901BS70077,-0.205975,51.515582,1,3,2,1,23/02/2009,2,13:23,12,1,1,1
200901BS70078,-0.165456,51.48375,1,2,2,1,22/02/2009,1,17:30,12,4,1,1
200901BS70080,-0.181158,51.490919,1,3,2,1,26/02/2009,5,22:55,12,4,1,1
200901BS70086,-0.193447,51.500731,1,3,2,1,16/01/2009,6,16:05,12,1,1,1
200901BS70088,-0.213251,51.513804,1,2,2,2,18/02/2009,4,8:36,12,1,8,2
200901BS70089,-0.190661,51.494663,1,3,2,1,4/3/2009,4,21:45,12,4,1,1
200901BS70090,-0.16764,51.497543,1,3,2,1,3/3/2009,3,8:55,12,1,1,1
200901BS70091,-0.206333,51.517475,1,3,2,2,3/3/2009,3,8:30,12,1,1,1
200901BS70092,-0.173154,51.485759,1,3,1,1,3/3/2009,3,20:20,12,4,2,2
200901BS70093,-0.215545,51.517796,1,3,2,3,4/3/2009,4,14:51,12,1,1,1
200901BS70094,-0.159015,51.497048,1,3,2,1,6/3/2009,6,6:35,12,1,1,1
200901BS70095,-0.168234,51.497103,1,2,1,1,17/02/2009,3,19:11,12,4,1,1
200901BS70096,-0.21792,51.512346,1,2,2,1,3/3/2009,3,20:26,12,4,2,2
200901BS70097,-0.150108,51.485757,1,3,2,1,20/02/2009,6,11:30,12,1,1,1
200901BS70099,-0.184076,51.500856,1,3,2,1,18/02/2009,4,13:00,12,1,1,1
200901BS70100,-0.200112,51.492471,1,3,2,1,9/3/2009,2,13:27,12,1,1,1
200901BS70101,-0.213947,51.518131,1,3,2,1,9/3/2009,2,15:30,12,1,1,1
200901BS70102,-0.21735,51.504784,1,2,2,1,10/3/2009,3,13:30,11,1,1,1
200901BS70107,-0.185636,51.483345,1,3,1,1,10/2/2009,3,16:50,12,1,1,1
200901BS70108,-0.183275,51.48115,1,3,3,1,9/3/2009,2,10:40,12,1,1,1
200901BS70109,-0.160201,51.49266,1,3,2,1,2/3/2009,2,7:40,12,1,1,1
200901BS70110,-0.194515,51.491935,1,3,2,1,25/02/2009,4,12:58,12,1,1,1
200901BS70111,-0.172282,51.482328,1,3,2,2,6/3/2009,6,17:30,12,4,1,1
200901BS70112,-0.18153,51.481572,1,3,2,1,14/03/2009,7,17:04,12,1,1,1
200901BS70113,-0.157931,51.49892,1,3,2,1,20/02/2009,6,18:15,12,4,1,1
200901BS70115,-0.177005,51.490315,1,3,1,1,9/3/2009,2,15:53,12,1,1,1
200901BS70116,-0.175802,51.484361,1,3,2,1,26/02/2009,5,13:45,12,1,1,1
200901BS70117,-0.155861,51.489535,1,3,2,1,28/02/2009,7,6:12,12,4,1,1
200901BS70118,-0.174864,51.493429,1,3,2,1,23/02/2009,2,12:33,12,1,1,1
200901BS70119,-0.157488,51.488481,1,2,2,1,11/2/2009,4,8:40,12,1,1,1
200901BS70120,-0.175802,51.484361,1,3,2,1,1/3/2009,1,13:05,12,1,1,1
200901BS70121,-0.184906,51.483603,1,3,2,1,13/03/2009,6,17:30,12,1,1,1
200901BS70122,-0.170814,51.486622,1,3,2,1,4/3/2009,4,7:05,12,1,1,2
200901BS70123,-0.194,51.504966,1,3,1,1,7/2/2009,7,13:15,12,1,8,1
                                                                    
200901BS70126,-0.173827,51.490535,1,2,2,1,24/02/2009,3,8:00,12,1,1,1
200901BS70128,-0.173423,51.486213,1,3,2,1,20/03/2009,6,8:59,12,1,1,1
200901BS70129,-0.194649,51.506775,1,3,1,1,5/2/2009,5,8:40,12,1,2,2
200901BS70009,-0.1673950000,51.4964600000,1,3,1,2,7/1/2009,4,AFTERNOON,12,1,1,1
200901BS70011,-0.1734450000,51.4820760000,1,3,2,1,7/1/2009,4,NIGHT,12,4,1,1
200901BS70007,-0.1785610000,51.4801770000,1,2,2,1,8/1/2009,5,AFTERNOON,12,1,1,1
200901BS70124,-0.1737660000,51.4956600000,1,3,1,1,17/03/2009,3,EVENING,12,4,1,1
